English,CEFR,gender,word,wordAudio,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted
see you soon,A1,interjection,a presto,X,saluto usato quando ci si lascia,X,A presto!,See you soon!,
to,A1,preposition,"a, ad",X,"indica direzione, luogo, tempo o modo",X,Vado a scuola con mia sorella.,I'm going to school with my sister.,
"live, reside",A1,verb,abitare,X,vivere in un luogo stabilmente,X,Abito in una casa vicino alla scuola.,I live in a house near the school.,
suit,A1,masculine,abito,X,vestito elegante maschile,X,Luca indossa un abito nero.,Luca is wearing a black suit.,
"turn on, ignite",A1,verb,accendere,X,fare partire la luce o un apparecchio elettrico,X,Voglio accendere la luce.,I want to turn on the light.,
accompany,A1,verb,accompagnare,X,stare con qualcuno durante uno spostamento,X,Accompagno mia sorella a scuola.,I'm accompanying my sister to school.,
water,A1,feminine,acqua,X,liquido trasparente e indispensabile alla vita,X,Bevo un bicchiere d'acqua.,I drink a glass of water.,
now,A1,adverb,adesso,X,in questo momento,X,Adesso mangio la cena.,Now I eat dinner.,
"plane, airplane",A1,masculine,aereo,X,mezzo di trasporto che vola,X,L'aereo parte alle otto.,The plane leaves at eight o'clock.,
airport,A1,masculine,aeroporto,X,struttura dove partono e arrivano gli aerei,X,Siamo arrivati all'aeroporto in tempo.,We got to the airport on time.,
August,A1,masculine,agosto,X,ottavo mese dell’anno,X,Agosto è un mese molto caldo.,August is a very hot month.,
help,A1,verb,aiutare,X,dare sostegno a qualcuno in difficoltà,X,Voglio aiutare mia mamma.,I want to help my mom.,
help,A1,masculine,aiuto,X,sostegno offerto a qualcuno,X,Ho bisogno di un aiuto.,I need some help.,
hotel,A1,masculine,albergo,X,struttura che offre camere a pagamento,X,Dormiamo in un albergo vicino al mare.,We are sleeping in a hotel near the sea.,
"tree, shaft",A1,masculine,albero,X,pianta con tronco e rami,X,C'è un albero nel giardino.,There is a tree in the garden.,
"high, tall",A1,adjective,alto,X,con molta statura,X,Il ragazzo è molto alto.,The boy is very tall.,
other,A1,adjective,altro,X,"non identico, differente",X,"Vorrei un altro gelato, per favore.","I would like another ice cream, please.",
love,A1,verb,amare,X,provare affetto profondo per qualcuno,X,Io amo il mio gatto.,I love my cat.,
America,A1,feminine,America,X,continente situato a ovest dell’Europa,X,Vado in America per le vacanze.,I'm going to America for the holidays.,
American,A1,noun,americano,X,persona proveniente dal continente a ovest dell’Europa,X,Lui è un americano molto gentile.,He is a very kind American.,
American,A1,adjective,americano,X,relativo al continente a ovest dell’Europa,X,Mi piace il cibo americano.,I like American food.,
friend,A1,masculine,amico,X,persona con cui si ha confidenza e affetto,X,Il mio amico si chiama Marco.,My friend's name is Marco.,
love,A1,masculine,amore,X,sentimento di forte affetto,X,L'amore è importante per tutti.,Love is important to everyone.,
"too, also",A1,adverb,anche,X,"in aggiunta, pure",X,Anche lei viene alla festa.,"She's coming to the party, too.",
"still, again, yet",A1,adverb,ancora,X,ancora una volta o non ancora,X,Sto ancora studiando.,I'm still studying.,
go,A1,verb,andare,X,spostarsi verso una direzione,X,Domani voglio andare al parco.,Tomorrow I want to go to the park.,
animal,A1,masculine,animale,X,essere vivente non umano,X,Il mio animale preferito è il gatto.,My favorite animal is the cat.,
year,A1,masculine,anno,X,periodo di dodici mesi,X,Ho venti anni.,I am twenty years old.,
apartment,A1,masculine,appartamento,X,unità abitativa in un edificio,X,Vivo in un appartamento piccolo ma comodo.,I live in a small but comfortable apartment.,
appointment,A1,masculine,appuntamento,X,incontro fissato per un’ora stabilita,X,Ho un appuntamento alle tre.,I have an appointment at three.,
April,A1,masculine,aprile,X,quarto mese dell’anno,X,Aprile è il mese della primavera.,April is the month of spring.,
orange,A1,feminine,arancia,X,frutto agrumato dolce o acidulo,X,Mangio un'arancia ogni giorno.,I eat an orange every day.,
orange,A1,adjective,arancione,X,colore simile al rosso e al giallo,X,Il vestito è arancione.,The dress is orange.,
arrive,A1,verb,arrivare,X,giungere a destinazione,X,L'autobus arriva tra poco.,The bus is coming soon.,
goodbye,A1,interjection,arrivederci,X,saluto formale al congedo,X,"Arrivederci, ci vediamo domani.","Goodbye, see you tomorrow.",
elevator,A1,masculine,ascensore,X,macchina che porta le persone tra i piani di un edificio,X,L'ascensore è al piano terra.,The elevator is on the ground floor.,
listen to,A1,verb,ascoltare,X,prestare attenzione a suoni o parole,X,Mi piace ascoltare la musica.,I like to listen to music.,
wait for,A1,verb,aspettare,X,restare in un luogo fino a un determinato momento,X,Aspetto il treno con mia sorella.,I'm waiting for the train with my sister.,
bus,A1,masculine,autobus,X,mezzo pubblico che viaggia su strada per più passeggeri,X,L'autobus è in ritardo.,The bus is late.,
"autumn, fall",A1,masculine,autunno,X,stagione tra estate e inverno,X,In autunno le foglie cadono.,In autumn the leaves fall.,
